Log GDP per capita,Social support,Selected,Country name,Cluster,Silhouette
continuous,continuous,No Yes,string,C1 C2 C3 C4 C5,continuous
,,class,meta,meta,meta
0.085225323,0.634078488,No,Mozambique,C3,0.6653383908453836
0.345881169,0.649858435,No,Myanmar,C3,0.571967425919143
0.264251687,0.700441599,No,Nepal,C3,0.6261821466119056
0.850214522,0.922181373,No,Netherlands,C1,0.6885082858086986
0.790617233,0.949385142,No,New Zealand,C1,0.667663531445484
0.385728341,0.810492732,No,Nicaragua,C2,0.5738032098943966
0.073140312,0.550287356,No,Niger,C3,0.6036881558238246
0.374304651,0.667062838,No,Nigeria,C2,0.49692754946711926
0.784305835,0.771905637,No,North Cyprus,C4,0.5189362404544794
0.591889573,0.729446628,No,North Macedonia,C2,0.5827080667406142
0.877805066,0.947251099,No,Norway,C1,0.6787129818376745
0.344270772,0.45287145,No,Pakistan,C5,0.6170307452820467
0.356099322,0.731939866,No,Palestinian Territories,C2,0.5528666138425431
0.717985856,0.868069642,No,Panama,C4,0.4842842196571241
0.543454107,0.884883156,No,Paraguay,C4,0.629828945649973
0.545594893,0.747258494,No,Peru,C2,0.6073349131280649
0.453602497,0.765466531,No,Philippines,C2,0.6236595309852698
0.722688336,0.884465855,No,Poland,C1,0.5525720022354783
0.745503906,0.843992985,No,Portugal,C4,0.466373718989468
0.698141052,0.730392157,No,Romania,C4,0.5543442094217642
0.700935022,0.879775186,No,Russia,C4,0.5053473439595829
0.176259025,0.435957573,No,Rwanda,C5,0.6093963483658018
0.820100012,0.828346856,No,Saudi Arabia,C1,0.6078084597225417
0.272946503,0.645136072,No,Senegal,C3,0.6593052597387489
0.608168126,0.794677569,No,Serbia,C4,0.5985621426367334
0.14762102,0.548729082,No,Sierra Leone,C3,0.6143158586946169
0.952399692,0.860959686,No,Singapore,C1,0.6464678039810946
0.727742928,0.919973377,No,Slovakia,C1,0.6084292470367959
0.763746696,0.922780032,No,Slovenia,C1,0.6572012670376375
0.553442715,0.82983646,No,South Africa,C4,0.6026905883026619
0.784912416,0.721148158,No,South Korea,C4,0.5492278440974675
0.778629128,0.925488083,No,Spain,C1,0.6692795174767079
0.541678009,0.770199459,No,Sri Lanka,C2,0.5599565901231568
0.838139129,0.915029158,No,Sweden,C1,0.6891821964748049
0.889880952,0.937355618,No,Switzerland,C1,0.6788794868397827
0.825375246,0.842249831,No,Taiwan Province of China,C1,0.6316943407175047
0.259890224,0.727254479,No,Tajikistan,C3,0.5966387330683774
0.222338442,0.645579784,No,Tanzania,C3,0.677010338268466
0.612044325,0.860811782,No,Thailand,C4,0.643915518877282
0.121676382,0.272206728,No,Togo,C5,0.6344225836617056
0.517713635,0.569160962,No,Tunisia,C2,0.5837315208068126
0.698930347,0.760543442,No,Turkey,C4,0.6046814329862896
0.561414812,0.945101209,No,Turkmenistan,C4,0.5775579247340763
0.191189786,0.726853026,No,Uganda,C3,0.6317790627441728
0.549965972,0.850278905,No,Ukraine,C4,0.6215061648264
0.882817,0.808027936,No,United Arab Emirates,C1,0.6080498376609175
0.809029175,0.929629395,No,United Kingdom,C1,0.6833426426395827
0.866157238,0.898644213,No,United States,C1,0.6825574887807733
0.651307847,0.888638861,No,Uruguay,C4,0.5883405635166812
0.408944106,0.917908004,No,Uzbekistan,C4,0.5461400656504196
0.545028258,0.860547667,No,Venezuela,C4,0.6237523068334373
0.429177269,0.779291027,No,Vietnam,C2,0.6088876635660097
0.256787046,0.688646256,No,Yemen,C3,0.6427392452500925
0.290144544,0.63570191,No,Zambia,C3,0.65143160099198
0.250424606,0.697261663,No,Zimbabwe,C3,0.6390072562471215
