Healthy life expectancy at birth,Log GDP per capita,Selected,Country name,Cluster,Silhouette
continuous,continuous,No Yes,string,C1 C2 C3 C4 C5,continuous
,,class,meta,meta,meta
0.449872883,0.20074713,No,Afghanistan,C1,0.6774429347566892
0.79836594,0.554429518,No,Albania,C4,0.6011381089031288
0.740803489,0.534348,No,Algeria,C4,0.6717666720856856
0.805491728,0.672625459,No,Argentina,C2,0.6493071013639691
0.760043412,0.541871079,No,Armenia,C4,0.6607755661438757
0.912152048,0.824692271,No,Australia,C3,0.6972926603568864
0.897780987,0.848251272,No,Austria,C3,0.6936981908132644
0.725974265,0.58047698,No,Azerbaijan,C4,0.6369578452716884
0.801096376,0.813807847,No,Bahrain,C2,0.5532633510989077
0.691504727,0.320592674,No,Bangladesh,C5,0.5646509470801311
0.731526638,0.632020801,No,Belarus,C4,0.5148638025289672
0.878178178,0.831375015,No,Belgium,C3,0.6798370668009827
0.473911502,0.269355348,No,Benin,C1,0.631836890727385
0.682086397,0.46194668,No,Bolivia,C4,0.5925576222604266
0.783923319,0.56512827,No,Bosnia and Herzegovina,C4,0.6101281350453438
0.551227925,0.613635489,No,Botswana,C5,0.5265590362899641
0.749664522,0.586526512,No,Brazil,C4,0.6172700471691737
0.762522978,0.652341007,No,Bulgaria,C2,0.5893278105240071
0.453198611,0.185309652,No,Burkina Faso,C1,0.6792288237785226
0.63322282,0.307392887,No,Cambodia,C5,0.6434877686028169
0.425722164,0.294696118,No,Cameroon,C1,0.6380473401451005
0.912943146,0.822508581,No,Canada,C3,0.6971478254465616
0.332225414,0.147805214,No,Chad,C1,0.6566395117380184
0.833475578,0.677217718,No,Chile,C2,0.6242155684805875
0.814631696,0.562572494,No,China,C4,0.5594239333726072
0.777707458,0.572626938,No,Colombia,C4,0.6073522311749788
0.543042635,0.296855151,No,Congo (Brazzaville),C5,0.5414914830432817
0.440437894,0.048638152,No,Congo (Kinshasa),C1,0.6660647947223515
0.860532103,0.63086238,No,Costa Rica,C2,0.576887351149854
0.829100578,0.700079891,No,Croatia,C2,0.6242471454817289
0.915419512,0.773271719,No,Cyprus,C3,0.6791487993270715
0.832807904,0.770397384,No,Czech Republic,C2,0.5115243901688956
0.882510504,0.849162623,No,Denmark,C3,0.6840494260219778
0.73477416,0.601785714,No,Dominican Republic,C4,0.597591913721571
0.796792936,0.532786424,No,Ecuador,C4,0.6243683958964116
0.645405725,0.527870162,No,Egypt,C4,0.5717149092248729
0.741815257,0.469052551,No,El Salvador,C4,0.6726722395259894
0.79792542,0.746614984,No,Estonia,C2,0.6465223430346451
0.562680541,0.171830986,No,Ethiopia,C1,0.5589299943818783
0.87541032,0.820363357,No,Finland,C3,0.6734970357441434
0.916425945,0.806931294,No,France,C3,0.6945707841076652
0.583542378,0.591380637,No,Gabon,C5,0.5012482934866709
